timestamp, arbitration id, extended, remote, error, dlc, data
1521401112.321361,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.322055,0xc,1,0,0,7,EwISARIiXA==
1521401112.325198,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.326244,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.327373,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.328419,0xc,1,0,0,7,EwISARIiXA==
1521401112.330489,0x80,0,0,0,4,BhUAnw==
1521401112.331482,0x82,0,0,0,8,AA8UAAAUAME=
1521401112.332149,0x81,0,0,0,4,DxQAqA==
1521401112.333181,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.334248,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.335418,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.336426,0xc,1,0,0,7,EwISARIiXA==
1521401112.340089,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.341151,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.342288,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.34333,0xc,1,0,0,7,EwISARIiXA==
1521401112.347556,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.348617,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.349752,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.35079,0xc,1,0,0,7,EwISARIiXA==
1521401112.355017,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.35609,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.357223,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.358272,0xc,1,0,0,7,EwISARIiXA==
1521401112.362495,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.363552,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.364688,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.365728,0xc,1,0,0,7,EwISARIiXA==
1521401112.370451,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.371523,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.372647,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.373683,0xc,1,0,0,7,EwISARIiXA==
1521401112.377389,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.378449,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.379584,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.380622,0xc,1,0,0,7,EwISARIiXA==
1521401112.384853,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.385915,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.387053,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.38809,0xc,1,0,0,7,EwISARIiXA==
1521401112.392305,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.393363,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.394499,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.395544,0xc,1,0,0,7,EwISARIiXA==
1521401112.3998,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.400867,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.402,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.403053,0xc,1,0,0,7,EwISARIiXA==
1521401112.407236,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.4083,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.409459,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.41049,0xc,1,0,0,7,EwISARIiXA==
1521401112.414686,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.415752,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.416883,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.41793,0xc,1,0,0,7,EwISARIiXA==
1521401112.422152,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.423223,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.424346,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.425386,0xc,1,0,0,7,EwISARIiXA==
1521401112.4296,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.430663,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.431798,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.432838,0xc,1,0,0,7,EwISARIiXA==
1521401112.433702,0x80,0,0,0,4,BRIAmw==
1521401112.434675,0x82,0,0,0,8,ABAUAAAUAMI=
1521401112.435339,0x81,0,0,0,4,EBQAqQ==
1521401112.437075,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.438146,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.439289,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.440337,0xc,1,0,0,7,EwISARIiXA==
1521401112.444545,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.445619,0xd,1,0,0,7,AAAFAjIWTw==
